book_id,Title,Author,Link,Description
18,Cranford ,Elizabeth Cleghorn Gaskell,https://www.gutenberg.org/ebooks/394.html.images,"""Cranford"" by Elizabeth Cleghorn Gaskell is a novel written in the mid-19th century. The story unfolds in a small English village dominated by women, where men are conspicuously absent from social life. "
19,The Expedition of Humphry Clinker,T. Smollett,https://www.gutenberg.org/ebooks/2160.html.images,"""The Expedition of Humphry Clinker"" by Tobias Smollett is a novel written during the mid-18th century. This humorous work explores the journey and misadventures of the Bramble family and their companions as they travel through Wales and England, providing a satirical glimpse into the social and cultural life of the time."
20,Twenty years after ,Alexandre Dumas and Auguste Maquet,https://www.gutenberg.org/ebooks/1259.html.images,"Twenty Years After"" by Alexandre Dumas and Auguste Maquet is a historical novel written in the mid-19th century. It serves as the sequel to ""The Three Musketeers"" and continues the adventurous saga of D'Artagnan and his friends—Athos, Porthos, and Aramis. This installment delves into their lives twenty years after the original tale, exploring themes of friendship, loyalty, and political intrigue against the backdrop of a tumultuous France."
21,The Adventures of Ferdinand Count Fathom,T. Smollett,https://www.gutenberg.org/ebooks/6761.html.images,"""The Adventures of Ferdinand Count Fathom"" by Tobias Smollett is a satirical novel written in the mid-18th century. The narrative follows the cunning and morally ambiguous character of Ferdinand Count Fathom, a man of mysterious parentage armed with an extraordinary talent for deception and manipulation. The story sets the stage for themes of vice and virtue, exploring Fathom’s escapades and schemes as he navigates a world ripe for exploitation."
22,"History of Tom Jones, a Foundling",Henry Fielding,https://www.gutenberg.org/ebooks/6593.html.images,"""The History of Tom Jones, A Foundling"" by Henry Fielding is a novel written in the early 18th century. The narrative revolves around the life of Tom Jones, a foundling raised by the benevolent Squire Allworthy, exploring themes of morality, love, and social class. "
23,My Life — Volume 1,Richard Wagner,https://www.gutenberg.org/ebooks/5197.html.images,"""My Life — Volume 1"" by Richard Wagner is an autobiographical work written in the mid-19th century. This volume details the early years and formative experiences of the famed composer, from his childhood in Leipzig to his early professional endeavors around 1842. The book reflects on Wagner's family background, his introduction to music, and the influences that shaped his artistic journey. "
24,The Adventures of Roderick Random,T. Smollett,https://www.gutenberg.org/ebooks/4085.html.images,"""The Adventures of Roderick Random"" by Tobias Smollett is a novel written in the early 18th century. The book follows the life and misadventures of Roderick Random, an orphan navigating a world rife with challenges, cruelty, and injustice. As he grows from a neglected child into a young man, Roderick's journey is marked by both comedic elements and social satire."
25,Jane Eyre: An Autobiography,Charlotte Brontë,https://www.gutenberg.org/ebooks/1260.html.images,"""Jane Eyre: An Autobiography"" by Charlotte Brontë is a novel written in the early 19th century, specifically during the Victorian era. The story centers around Jane Eyre, an orphaned girl who faces hardship and oppression while growing up in the unkind household of her aunt, Mrs. Reed. The narrative unfolds her struggles against social class constraints and personal adversities as she searches for love, belonging, and independence. "
26,Crime and Punishment,Fyodor Dostoyevsky,https://www.gutenberg.org/ebooks/2554.html.images,"Crime and Punishment"" by Fyodor Dostoyevsky is a novel written in the mid-19th century. The story delves into the psychological turmoil of its main character, Rodion Raskolnikov, a former student living in extreme poverty in St. Petersburg, as he grapples with morality, guilt, and the nature of crime. Raskolnikov's internal struggles and rationalizations set the stage for a broader exploration of existential questions and the consequences of one's choices. "
27,The Picture of Dorian Gray,Oscar Wilde,https://www.gutenberg.org/ebooks/174.html.images,"""The Picture of Dorian Gray"" by Oscar Wilde is a novel written during the late 19th century. The story explores themes of art, beauty, and morality, centering on the life of a young man named Dorian Gray, who becomes entranced by his own beauty and the hedonistic philosophies of Lord Henry Wotton. "
28,A Supplication for the Beggars,Simon Fish,https://www.gutenberg.org/ebooks/32464.html.images,"""A Supplication for the Beggars"" by Simon Fish is an early Protestant pamphlet written in the spring of 1529. This text falls into the category of political and religious commentary, reflecting the social and ecclesiastical pressures of its time. "
29,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,https://www.gutenberg.org/ebooks/41445.html.images,"""Frankenstein; Or, The Modern Prometheus"" by Mary Wollstonecraft Shelley is a novel written in the early 19th century. The story revolves around Victor Frankenstein, a young scientist who becomes obsessed with creating life, leading him to construct a living being from reanimated body parts. The book explores themes of ambition, the consequences of man's desire to play God, and the isolation that arises from the act of creation. "
30,Beowulf: An Anglo-Saxon Epic Poem,J. Lesslie Hall,https://www.gutenberg.org/ebooks/16328.html.images,"""Beowulf: An Anglo-Saxon Epic Poem"" by J. Lesslie Hall is an epic poem written in the late 19th century. The narrative focuses on the heroic figure Beowulf, a warrior from Geatland, who seeks to help Hrothgar, the Danish king, rid his land of the monstrous creature Grendel that has been terrorizing his mead-hall. "
31,A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,https://www.gutenberg.org/ebooks/46.html.images,"A Christmas Carol in Prose; Being a Ghost Story of Christmas"" by Charles Dickens is a novella written in the early 19th century. The story centers around Ebenezer Scrooge, a miserly old man, who is transformed after being visited by the ghost of his deceased partner, Jacob Marley, and the spirits of Christmas Past, Present, and Yet to Come. "
32,A Doll's House : a play,Henrik Ibsen,https://www.gutenberg.org/ebooks/2542.html.images,"""A Doll's House"" by Henrik Ibsen is a three-act play written during the late 19th century. The story revolves around Nora Helmer and her seemingly perfect marriage to Torvald Helmer, as well as themes of gender roles, deception, and the struggle for identity within the constraints of societal expectations."
33,The Importance of Being Earnest: A Trivial Comedy for Serious People,Oscar Wilde,https://www.gutenberg.org/ebooks/844.html.images,"""The Importance of Being Earnest: A Trivial Comedy for Serious People"" by Oscar Wilde is a play written in the late 19th century. This witty farce revolves around the theme of mistaken identities and the absurdities of Victorian society, focusing on the lives of two friends, John Worthing and Algernon Moncrieff, who both assume fictitious personas to escape their societal obligations."
34,The Count of Monte Cristo,Alexandre Dumas and Auguste Maquet,https://www.gutenberg.org/ebooks/1184.html.images,"""The Count of Monte Cristo"" by Alexandre Dumas and Auguste Maquet is a renowned novel written during the early 19th century. The story explores themes of justice, revenge, and redemption, primarily through the journey of its main character, Edmond Dantès, a young sailor who is unjustly imprisoned. "
35,The Great Gatsby,F. Scott Fitzgerald,https://www.gutenberg.org/ebooks/64317.html.images,"""The Great Gatsby"" by F. Scott Fitzgerald is a novel written in the early 20th century. The story is mainly narrated by Nick Carraway, who reflects on the life of his enigmatic neighbor, Jay Gatsby, and the extravagant world of wealth and excess he inhabits. The novel explores themes of the American Dream, love, and social class."
36,A Modest Proposal,Jonathan Swift,https://www.gutenberg.org/ebooks/1080.html.images,"""A Modest Proposal"" by Jonathan Swift is a satirical essay written in the early 18th century. This work is a classic example of political satire and addresses the dire circumstances faced by the poor in Ireland during that period. The essay presents a shocking and extreme solution to poverty and overpopulation, proposing that impoverished Irish families sell their children as food to the wealthy. "
37,A Tale of Two Cities,Charles Dickens,https://www.gutenberg.org/ebooks/98.html.images,"A Tale of Two Cities"" by Charles Dickens is a historical novel written in the mid-19th century. Set against the backdrop of the French Revolution, the story opens with an exploration of the social and political turmoil of the time, introducing key themes such as resurrection, sacrifice, and the dichotomy between oppression and liberty."
38,Adventures of Huckleberry Finn,Mark Twain,https://www.gutenberg.org/ebooks/76.html.images,"""Adventures of Huckleberry Finn"" by Mark Twain is a novel likely written in the late 19th century. The book explores the adventures of a young boy named Huckleberry Finn as he grapples with themes of freedom, morality, and societal expectations against the backdrop of the pre-Civil War American South."
39,Metamorphosis,Franz Kafka,https://www.gutenberg.org/ebooks/5200.html.images,"""Metamorphosis"" by Franz Kafka is a novella written during the late 19th century. The book explores themes of alienation and identity through the strange and tragic transformation of its main character, Gregor Samsa, who wakes up one morning to find himself turned into a grotesque insect. "
40,The Adventures of Sherlock Holmes,Arthur Conan Doyle,https://www.gutenberg.org/ebooks/1661.html.images,"The Adventures of Sherlock Holmes"" by Arthur Conan Doyle is a collection of detective stories written during the late 19th century. The book introduces the legendary detective Sherlock Holmes and his loyal companion, Dr. John Watson, as they embark on various intriguing cases, filled with mystery and clever deductions. "
41,Leviathan ,Thomas Hobbes,https://www.gutenberg.org/ebooks/3207.html.images,"Leviathan"" by Thomas Hobbes is a philosophical treatise written in the mid-17th century. The book explores the structure of society and legitimate government and creates an objective science of morality. Hobbes argues for a strong central authority to avoid chaos and civil war, emphasizing the social contract and the necessity of a sovereign power to maintain order and protect citizens. "
42,The Brothers Karamazov,Fyodor Dostoyevsky,https://www.gutenberg.org/ebooks/28054.html.images,"""The Brothers Karamazov"" by Fyodor Dostoyevsky is a profound novel written in the late 19th century. It explores the complex dynamics of the Karamazov family, particularly focusing on the turbulent relationships among the three brothers—Dmitri, Ivan, and Alyosha—and their morally questionable father, Fyodor Pavlovitch."
43,Thus Spake Zarathustra: A Book for All and None,Friedrich Wilhelm Nietzsche,https://www.gutenberg.org/ebooks/1998.html.images,"""Thus Spake Zarathustra: A Book for All and None"" by Friedrich Wilhelm Nietzsche is a philosophical treatise written in the late 19th century. The book follows Zarathustra, a prophet-like figure, as he descends from his mountain solitude to share his transformative ideas about humanity and existence. "
44,The Iliad,Homer,https://www.gutenberg.org/ebooks/6130.html.images,"""The Iliad"" by Homer is an epic poem traditionally attributed to the 8th century BC. The narrative centers around the breathtaking events of the Trojan War, focusing particularly on the wrath of Achilles, a Greek hero, as well as themes of honor, glory, and the interplay between mortals and deities. "
45,Grimms' Fairy Tales,Jacob Grimm and Wilhelm Grimm,https://www.gutenberg.org/ebooks/2591.html.images,"""Grimms' Fairy Tales"" by Jacob Grimm and Wilhelm Grimm is a renowned collection of folk tales compiled in the early 19th century. This collection features a myriad of enchanting stories that explore themes of morality, adventure, and the fantastical, capturing the imagination of both children and adults alike. "
46,Wuthering Heights,Emily Brontë,https://www.gutenberg.org/ebooks/768.html.images,"Wuthering Heights"" by Emily Brontë is a novel penned in the early 19th century. The story centers around the intense and turbulent relationships among the residents of Wuthering Heights and Thrushcross Grange, particularly focusing on the enigmatic figure of Heathcliff and his connection to Catherine Earnshaw. "
47,Anne of Green Gables,L. M. Montgomery,https://www.gutenberg.org/ebooks/45.html.images,"Anne of Green Gables"" by L. M. Montgomery is a classic novel written during the early 20th century. The story revolves around an imaginative and spirited young girl named Anne Shirley, who is mistakenly sent to live with two elderly siblings, Marilla and Matthew Cuthbert, at their farm, Green Gables, in Prince Edward Island. "
48,The Prince,Niccolò Machiavelli,https://www.gutenberg.org/ebooks/1232.html.images,"The Prince"" by Niccolò Machiavelli is a political treatise written during the early 16th century. This influential work explores the nature of power and governance, offering pragmatic advice to rulers on how to maintain control of their principalities. Machiavelli addresses various types of principalities, their acquisition, and the methods necessary for governing them effectively, inviting readers to navigate the complexities of political leadership with a sense of realism. "
49,Childe Harold's Pilgrimage,Baron George Gordon Byron Byron,https://www.gutenberg.org/ebooks/5131.html.images,"""Childe Harold's Pilgrimage"" by Lord Byron is a narrative poem written in the early 19th century, notable for its exploration of themes such as disillusionment, longing, and the beauty of nature. The poem follows the journey of Childe Harold, a young nobleman who, feeling weary and disenchanted with life in England, embarks on a quest for adventure and self-discovery through various countries, particularly in Southern Europe."
50,The Legend of Sleepy Hollow,Washington Irving,https://www.gutenberg.org/ebooks/41.html.images,"""The Legend of Sleepy Hollow"" by Washington Irving is a classic short story from the early 19th century, specifically during the Romantic era. This tale is a blend of folklore and ghost story that takes place in the mythical village of Sleepy Hollow, where supernatural occurrences and local legends intertwine within a vividly described rural setting. "
51,Second Treatise of Government,John Locke,https://www.gutenberg.org/ebooks/7370.html.images,"""Second Treatise of Government"" by John Locke is a foundational philosophical text concerning political theory, published in the late 17th century. The treatise critiques the divine right of kings and presents the concept of government by consent, positing the importance of individual rights and the role of the state in protecting these rights. "
52,War and Peace,graf Leo Tolstoy,https://www.gutenberg.org/ebooks/2600.html.images,"""War and Peace"" by graf Leo Tolstoy is a monumental novel written in the early 19th century, set against the backdrop of the Napoleonic Wars. The book interweaves the lives of several characters, primarily focusing on the Russian aristocracy and their experiences during a turbulent time in European history."
53,Ulysses,James Joyce,https://www.gutenberg.org/ebooks/4300.html.images,"""Ulysses"" by James Joyce is a modernist novel written in the early 20th century. This influential work takes place in Dublin and chronicles the experiences of its central characters, primarily Leopold Bloom, as well as Stephen Dedalus and Molly Bloom, over the course of a single day, June 16, 1904. "
54,Great Expectations,Charles Dickens,https://www.gutenberg.org/ebooks/1400.html.images,"""Great Expectations"" by Charles Dickens is a novel written in the mid-19th century (Victorian era). The story follows the life of a young orphan named Philip ""Pip"" Pirrip as he navigates social classes, personal aspirations, and the complexities of human relationships. The narrative begins with Pip's fateful encounter with an escaped convict, setting the stage for themes of ambition, morality, and transformation."
55,The Yellow Wallpaper,Charlotte Perkins Gilman,https://www.gutenberg.org/ebooks/1952.html.images,"""The Yellow Wallpaper"" by Charlotte Perkins Gilman is a short story written in the late 19th century, often associated with the feminist literature genre. The narrative explores the themes of mental illness, gender roles, and the constraints faced by women in a patriarchal society."
56,The Confessions of St. Augustine,Bishop of Hippo Saint Augustine,https://www.gutenberg.org/ebooks/3296.html.images,"The Confessions of Saint Augustine"" by Bishop of Hippo Saint Augustine is a philosophical and theological autobiography written in the early 5th century. This seminal work details the author's profound reflections on sin, grace, and redemption as he recounts his journey from a life of worldly pursuits to one of spiritual awakening and faith in God. "
57,White Nights and Other Stories,Fyodor Dostoyevsky,https://www.gutenberg.org/ebooks/36034.html.images,"""White Nights and Other Stories"" by Fyodor Dostoyevsky is a collection of short stories written in the mid-19th century. The title story, ""White Nights,"" revolves around an unnamed narrator who leads a solitary life in St. Petersburg and unexpectedly finds connection with a mysterious young woman named Nastenka."
58,"The Adventures of Tom Sawyer, Complete",Mark Twain,https://www.gutenberg.org/ebooks/74.html.images,"""The Adventures of Tom Sawyer, Complete"" by Mark Twain is a novel written in the mid-19th century. The book follows the adventurous life of a young boy named Tom Sawyer as he navigates childhood mischief, friendships, and his moral compass in a small American town along the Mississippi River."
59,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,https://www.gutenberg.org/ebooks/42324.html.images,"""Frankenstein; Or, The Modern Prometheus"" by Mary Wollstonecraft Shelley is a novel written in the early 19th century. The story centers around Victor Frankenstein, a brilliant but obsessive scientist whose quest to conquer death leads him to create a living being from dead matter. The novel explores themes of ambition, the pursuit of knowledge, and the consequences of isolation and responsibility. "
60,The Works of Edgar Allan Poe — Volume 2,Edgar Allan Poe,https://www.gutenberg.org/ebooks/2148.html.images,"""The Works of Edgar Allan Poe — Volume 2"" by Edgar Allan Poe is a collection of literary works, including short stories and essays, written during the early to mid-19th century. This volume contains a range of tales that delve into themes of mystery, horror, and the uncanny, showcasing Poe's mastery of suspenseful and psychological storytelling."
61,"Walden, and On The Duty Of Civil Disobedience",Henry David Thoreau,https://www.gutenberg.org/ebooks/205.html.images,"Walden, and On The Duty Of Civil Disobedience"" by Henry David Thoreau is a philosophical essay and social critique written in the mid-19th century. This work reflects Thoreau's reflections on simple living in natural surroundings, drawing from his personal experiment of living alone in the woods near Walden Pond."
62,Beyond Good and Evil,Friedrich Wilhelm Nietzsche,https://www.gutenberg.org/ebooks/4363.html.images,"""Beyond Good and Evil"" by Friedrich Wilhelm Nietzsche is a philosophical treatise written during the late 19th century. In this work, Nietzsche critiques traditional moral values and explores the complexities of truth, morality, and the nature of human consciousness, arguing against the dogmatic philosophers of the past."
63,"The Profits of Religion, Fifth Edition",Upton Sinclair,https://www.gutenberg.org/ebooks/16470.html.images,"""The Profits of Religion"" by Upton Sinclair is a socio-economic critique written in the early 20th century. The work explores the intersection of organized religion and economic exploitation, suggesting that religious institutions serve as a means of financial gain for the privileged while perpetuating social injustices. "
64,On Liberty,John Stuart Mill,https://www.gutenberg.org/ebooks/34901.html.images,"""On Liberty"" by John Stuart Mill is a philosophical essay written in the mid-19th century. The work primarily discusses the nature and limits of civil or social liberty, emphasizing the importance of individual freedom against societal authority. Mill seeks to establish a framework that protects individuality and self-expression, which he argues are essential for human progress. "
65,The Souls of Black Folk,W. E. B. Du Bois,https://www.gutenberg.org/ebooks/408.html.images,"""The Souls of Black Folk"" by W. E. B. Du Bois is a seminal collection of essays written during the late 19th century. This work addresses the multifaceted struggles and experiences of African Americans in the post-Civil War United States, focusing on themes of race, identity, and the quest for equality in an era plagued by systemic racism and inequity. "
66,India for Indians, Chitta Ranjan Das,https://www.gutenberg.org/ebooks/45247.html.images,"""India for Indians"" by Chitta Ranjan Das is a collection of political speeches written in the early 20th century. The book addresses the pressing political issues of India during the time of colonial rule, advocating for self-governance and unity among diverse Indian communities, particularly focusing on the collaboration between Hindus and Muslims."
67,The divine comedy,Dante Alighieri,https://www.gutenberg.org/ebooks/8800.html.images,"""The Divine Comedy"" by Dante Alighieri is an epic poem written in the 14th century. This renowned work describes an imaginative and allegorical journey through the realms of the afterlife, composed of three main parts: Hell, Purgatory, and Paradise."
68,"Narrative of the Life of Frederick Douglass, an American Slave",Douglass,https://www.gutenberg.org/ebooks/23.html.images,"""Narrative of the Life of Frederick Douglass, an American Slave"" by Douglass is a historical account written in the mid-19th century. The book chronicles the life of Frederick Douglass, detailing his experiences as a slave and eventually a prominent abolitionist."
69,Autobiography of Benjamin Franklin,Benjamin Franklin,https://www.gutenberg.org/ebooks/20203.html.images,"Autobiography of Benjamin Franklin"" by Benjamin Franklin is a historical account written in the late 18th century. This work delves into Franklin's life, offering insights into his humble beginnings, his rise to prominence, and the philosophies that guided him throughout his achievements."
70,Bleak House,Charles Dickens,https://www.gutenberg.org/ebooks/1023.html.images,"""Bleak House"" by Charles Dickens is a novel written in the mid-19th century that explores the themes of social justice, the inefficiencies of the legal system, and the personal struggles of its characters. The narrative primarily revolves around several characters involved in the interminable court case of Jarndyce and Jarndyce, delving into their lives, relationships, and the pervasive influence of the legal system on their choices and fates. "
